Scenario,Decision Rule,Deployment Rate,Unsafe Deployment Rate,Unsafe Deploy 95% CI Low,Unsafe Deploy 95% CI High,Contamination Rate
Uniform Failure,Gates,0.282,0.0,0.0,0.0,0.0
Uniform Failure,Composite (moderate),0.62,0.012,0.006,0.02,0.01935483870967742
Uniform Failure,Composite (matched),0.282,0.001,,,0.0035460992907801418
Uniform Failure,Permissive,0.775,0.04,0.029,0.053,0.05161290322580645
Random Failure,Gates,0.307,0.009,0.004,0.015024999999999976,0.029315960912052116
Random Failure,Composite (moderate),0.675,0.061,0.047,0.077,0.09037037037037036
Random Failure,Composite (matched),0.307,0.009,,,0.029315960912052116
Random Failure,Permissive,0.833,0.086,0.071,0.104,0.10324129651860744
Partial Heterogeneity,Gates,0.312,0.008,0.003,0.014,0.02564102564102564
Partial Heterogeneity,Composite (moderate),0.686,0.074,0.059,0.09,0.10787172011661808
Partial Heterogeneity,Composite (matched),0.312,0.015,,,0.04807692307692308
Partial Heterogeneity,Permissive,0.83,0.094,0.075975,0.114,0.11325301204819277
