p_high_risk,p_unsafe_high,p_unsafe_standard,gate_deploy_rate,gate_unsafe_rate,gate_unsafe_ci_lo,gate_unsafe_ci_hi,comp_mod_deploy_rate,comp_mod_unsafe_rate,comp_mod_unsafe_ci_lo,comp_mod_unsafe_ci_hi,comp_matched_unsafe_rate,perm_unsafe_rate,thr_moderate
0.1,0.2,0.0857,0.361,0.0,0.0,0.0,0.794,0.012,0.005,0.019,0.003,0.022,0.618
0.1,0.3,0.1286,0.35,0.0,0.0,0.0,0.77,0.02,0.012,0.029,0.002,0.018,0.6189
0.1,0.35,0.15,0.331,0.0,0.0,0.0,0.728,0.015,0.008,0.023,0.001,0.023,0.6242
0.1,0.45,0.1929,0.32,0.0,0.0,0.0,0.704,0.017,0.009,0.026,0.001,0.03,0.619
0.1,0.55,0.2357,0.314,0.001,0.0,0.003,0.691,0.029,0.019,0.039,0.0,0.032,0.6
0.2,0.2,0.0857,0.329,0.001,0.0,0.003,0.724,0.011,0.005,0.018,0.003,0.019,0.6424
0.2,0.3,0.1286,0.324,0.0,0.0,0.0,0.713,0.013,0.007,0.02,0.0,0.013,0.6336
0.2,0.35,0.15,0.309,0.0,0.0,0.0,0.68,0.014,0.008,0.022,0.0,0.024,0.6396
0.2,0.45,0.1929,0.278,0.0,0.0,0.0,0.611,0.013,0.007,0.02,0.001,0.029,0.6489
0.2,0.55,0.2357,0.274,0.0,0.0,0.0,0.603,0.022,0.014,0.032,0.0,0.032,0.637
0.3,0.2,0.0857,0.307,0.0,0.0,0.0,0.675,0.006,0.002,0.011,0.001,0.01,0.6561
0.3,0.3,0.1286,0.299,0.0,0.0,0.0,0.658,0.007,0.003,0.013,0.0,0.022,0.6491
0.3,0.35,0.15,0.285,0.0,0.0,0.0,0.627,0.009,0.004,0.015,0.0,0.022,0.6522
0.3,0.45,0.1929,0.269,0.0,0.0,0.0,0.592,0.013,0.006,0.021,0.001,0.028,0.6491
0.3,0.55,0.2357,0.25,0.002,0.0,0.005,0.55,0.015,0.008,0.023,0.0,0.035,0.6417
0.4,0.2,0.0857,0.299,0.0,0.0,0.0,0.658,0.011,0.005,0.019,0.0,0.009,0.66
0.4,0.3,0.1286,0.269,0.0,0.0,0.0,0.592,0.008,0.003,0.014,0.001,0.024,0.6696
0.4,0.35,0.15,0.287,0.0,0.0,0.0,0.631,0.01,0.004,0.017,0.001,0.018,0.6437
0.4,0.45,0.1929,0.25,0.0,0.0,0.0,0.55,0.014,0.007,0.022,0.0,0.018,0.6573
0.4,0.55,0.2357,0.242,0.0,0.0,0.0,0.532,0.011,0.005,0.018,0.0,0.031,0.6386
0.5,0.2,0.0857,0.259,0.0,0.0,0.0,0.57,0.003,0.0,0.007,0.0,0.011,0.6809
0.5,0.3,0.1286,0.262,0.001,0.0,0.003,0.576,0.006,0.002,0.011,0.001,0.019,0.6681
0.5,0.35,0.15,0.248,0.0,0.0,0.0,0.546,0.008,0.003,0.014,0.0,0.026,0.6672
0.5,0.45,0.1929,0.237,0.0,0.0,0.0,0.521,0.012,0.006,0.019,0.0,0.033,0.6592
0.5,0.55,0.2357,0.218,0.001,0.0,0.003,0.48,0.009,0.004,0.015,0.0,0.028,0.6444
